investor,"Total Valuation Estimate"
"Sequoia Capital China",473.00
"Softbank Group",351.00
"Tiger Global Management",306.00
"Sequoia Capital",228.00
Accel,216.00
"Andreessen Horowitz",214.00
"Khosla Ventures",184.00
"Sina Weibo",183.00
"SIG Asia Investments",182.00
"Tencent Holdings",159.00
"Insight Partners",150.00
"DST Global",146.00
"Founders Fund",140.00
"index Ventures",136.00
"General Atlantic",132.00
"New Enterprise Associates",120.00
capitalG,119.00
"Shunwei Capital Partners",117.00
"General Catalyst",106.00
"Kleiner Perkins Caufield & Byers",104.00
